junction_name,primary_direction,primary_speed_limit,primary_avg_speed,secondary_direction,secondary_speed_limit,secondary_avg_speed,record_time,record_date,day_of_week
J32,NB,70,33.25,SB,70,49.6,0 days 09:00:02,2024-09-03,Tuesday
J34,NB,70,48.61,SB,70,39.25,0 days 09:00:02,2024-09-03,Tuesday
J39,NB,70,62.88,SB,70,64.0,0 days 09:00:02,2024-09-03,Tuesday
J43|44,NB,70,48.45,SB,70,48.79,0 days 09:00:02,2024-09-03,Tuesday
J2,NB,70,64.65,SB,70,65.91,0 days 09:30:04,2024-09-03,Tuesday
J6A,NB,70,58.35,SB,70,62.14,0 days 09:30:04,2024-09-03,Tuesday
J10,NB,70,48.4,SB,70,38.97,0 days 09:30:04,2024-09-03,Tuesday
J14,NB,70,27.15,SB,70,63.23,0 days 09:30:04,2024-09-03,Tuesday
J19,NB,70,60.42,SB,70,64.04,0 days 09:30:04,2024-09-03,Tuesday
J21,NB,70,53.64,SB,70,26.11,0 days 09:30:04,2024-09-03,Tuesday
J24,NB,70,53.44,SB,70,48.77,0 days 09:30:04,2024-09-03,Tuesday
J28,NB,70,51.37,SB,70,48.84,0 days 09:30:04,2024-09-03,Tuesday
J32,NB,70,32.63,SB,70,49.03,0 days 09:30:04,2024-09-03,Tuesday
J34,NB,70,48.33,SB,70,48.22,0 days 09:30:04,2024-09-03,Tuesday
J39,NB,70,66.24,SB,70,61.69,0 days 09:30:04,2024-09-03,Tuesday
J43|44,NB,70,47.54,SB,70,51.0,0 days 09:30:04,2024-09-03,Tuesday
J2,NB,70,64.06,SB,70,70.0,0 days 10:00:03,2024-09-03,Tuesday
J6A,NB,70,58.23,SB,70,59.03,0 days 10:00:03,2024-09-03,Tuesday
J10,NB,70,47.66,SB,70,39.75,0 days 10:00:03,2024-09-03,Tuesday
J14,NB,70,53.74,SB,70,68.51,0 days 10:00:03,2024-09-03,Tuesday
J19,NB,70,64.73,SB,70,60.14,0 days 10:00:03,2024-09-03,Tuesday
J21,NB,70,62.07,SB,70,32.04,0 days 10:00:03,2024-09-03,Tuesday
J24,NB,70,53.44,SB,70,48.77,0 days 10:00:03,2024-09-03,Tuesday
J28,NB,70,48.8,SB,70,48.3,0 days 10:00:03,2024-09-03,Tuesday
J32,NB,70,41.83,SB,70,51.46,0 days 10:00:03,2024-09-03,Tuesday
J34,NB,70,49.09,SB,70,48.61,0 days 10:00:03,2024-09-03,Tuesday
J39,NB,70,68.6,SB,70,67.26,0 days 10:00:03,2024-09-03,Tuesday
J43|44,NB,70,48.45,SB,70,47.94,0 days 10:00:03,2024-09-03,Tuesday
J2,NB,70,70.0,SB,70,70.0,0 days 10:30:03,2024-09-03,Tuesday
J6A,NB,70,58.66,SB,70,62.14,0 days 10:30:03,2024-09-03,Tuesday
J10,NB,70,47.66,SB,70,48.62,0 days 10:30:03,2024-09-03,Tuesday
J14,NB,70,57.83,SB,70,64.97,0 days 10:30:03,2024-09-03,Tuesday
J19,NB,70,70.0,SB,70,60.14,0 days 10:30:03,2024-09-03,Tuesday
J21,NB,70,58.51,SB,70,57.43,0 days 10:30:03,2024-09-03,Tuesday
J24,NB,70,54.06,SB,70,47.59,0 days 10:30:03,2024-09-03,Tuesday
J28,NB,70,49.13,SB,70,49.01,0 days 10:30:03,2024-09-03,Tuesday
J32,NB,70,47.08,SB,70,51.46,0 days 10:30:03,2024-09-03,Tuesday
J34,NB,70,47.85,SB,70,47.37,0 days 10:30:03,2024-09-03,Tuesday
J39,NB,70,42.75,SB,70,64.92,0 days 10:30:03,2024-09-03,Tuesday
J43|44,NB,70,51.59,SB,70,49.52,0 days 10:30:03,2024-09-03,Tuesday
J2,NB,70,67.33,SB,70,70.0,0 days 11:00:02,2024-09-03,Tuesday
J6A,NB,70,60.65,SB,70,62.76,0 days 11:00:02,2024-09-03,Tuesday
J10,NB,70,47.78,SB,70,48.54,0 days 11:00:02,2024-09-03,Tuesday
J14,NB,70,63.86,SB,70,62.68,0 days 11:00:02,2024-09-03,Tuesday
J19,NB,70,59.87,SB,70,58.6,0 days 11:00:02,2024-09-03,Tuesday
J21,NB,70,60.89,SB,70,57.56,0 days 11:00:02,2024-09-03,Tuesday
J24,NB,70,52.82,SB,70,47.97,0 days 11:00:02,2024-09-03,Tuesday
J28,NB,70,48.37,SB,70,48.4,0 days 11:00:02,2024-09-03,Tuesday
J32,NB,70,49.02,SB,70,51.63,0 days 11:00:02,2024-09-03,Tuesday
J34,NB,70,48.33,SB,70,47.53,0 days 11:00:02,2024-09-03,Tuesday
J39,NB,70,59.15,SB,70,65.48,0 days 11:00:02,2024-09-03,Tuesday
J43|44,NB,70,48.45,SB,70,47.4,0 days 11:00:02,2024-09-03,Tuesday
J2,NB,70,70.0,SB,70,62.08,0 days 11:30:03,2024-09-03,Tuesday
J6A,NB,70,58.1,SB,70,58.41,0 days 11:30:03,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,47.92,0 days 11:30:03,2024-09-03,Tuesday
J14,NB,70,60.39,SB,70,61.68,0 days 11:30:03,2024-09-03,Tuesday
J19,NB,70,67.73,SB,70,58.6,0 days 11:30:03,2024-09-03,Tuesday
J21,NB,70,59.22,SB,70,60.5,0 days 11:30:03,2024-09-03,Tuesday
J24,NB,70,51.57,SB,70,48.77,0 days 11:30:03,2024-09-03,Tuesday
J28,NB,70,48.37,SB,70,46.42,0 days 11:30:03,2024-09-03,Tuesday
J32,NB,70,48.53,SB,70,53.39,0 days 11:30:03,2024-09-03,Tuesday
J34,NB,70,48.61,SB,70,49.0,0 days 11:30:03,2024-09-03,Tuesday
J39,NB,70,69.59,SB,70,66.9,0 days 11:30:03,2024-09-03,Tuesday
J43|44,NB,70,49.36,SB,70,47.94,0 days 11:30:03,2024-09-03,Tuesday
J2,NB,70,66.25,SB,70,69.59,0 days 12:00:03,2024-09-03,Tuesday
J6A,NB,70,60.4,SB,70,59.03,0 days 12:00:03,2024-09-03,Tuesday
J10,NB,70,47.66,SB,70,47.76,0 days 12:00:03,2024-09-03,Tuesday
J14,NB,70,60.76,SB,70,64.78,0 days 12:00:03,2024-09-03,Tuesday
J19,NB,70,56.69,SB,70,57.34,0 days 12:00:03,2024-09-03,Tuesday
J21,NB,70,56.43,SB,70,62.78,0 days 12:00:03,2024-09-03,Tuesday
J24,NB,70,50.95,SB,70,48.71,0 days 12:00:03,2024-09-03,Tuesday
J28,NB,70,48.73,SB,70,48.2,0 days 12:00:03,2024-09-03,Tuesday
J32,NB,70,49.5,SB,70,55.14,0 days 12:00:03,2024-09-03,Tuesday
J34,NB,70,48.33,SB,70,49.7,0 days 12:00:03,2024-09-03,Tuesday
J39,NB,70,58.66,SB,70,65.18,0 days 12:00:03,2024-09-03,Tuesday
J43|44,NB,70,47.54,SB,70,47.14,0 days 12:00:03,2024-09-03,Tuesday
J2,NB,70,64.18,SB,70,70.0,0 days 12:30:03,2024-09-03,Tuesday
J6A,NB,70,60.03,SB,70,57.17,0 days 12:30:03,2024-09-03,Tuesday
J10,NB,70,47.1,SB,70,47.69,0 days 12:30:03,2024-09-03,Tuesday
J14,NB,70,62.68,SB,70,63.11,0 days 12:30:03,2024-09-03,Tuesday
J19,NB,70,60.05,SB,70,60.14,0 days 12:30:03,2024-09-03,Tuesday
J21,NB,70,55.75,SB,70,57.97,0 days 12:30:03,2024-09-03,Tuesday
J24,NB,70,53.44,SB,70,47.22,0 days 12:30:03,2024-09-03,Tuesday
J28,NB,70,48.2,SB,70,48.6,0 days 12:30:03,2024-09-03,Tuesday
J32,NB,70,50.95,SB,70,52.31,0 days 12:30:03,2024-09-03,Tuesday
J34,NB,70,49.09,SB,70,48.15,0 days 12:30:03,2024-09-03,Tuesday
J39,NB,70,64.87,SB,70,68.32,0 days 12:30:03,2024-09-03,Tuesday
J43|44,NB,70,47.85,SB,70,48.48,0 days 12:30:03,2024-09-03,Tuesday
J2,NB,70,68.32,SB,70,70.0,0 days 13:00:02,2024-09-03,Tuesday
J6A,NB,70,59.65,SB,70,55.92,0 days 13:00:02,2024-09-03,Tuesday
J10,NB,70,45.61,SB,70,52.58,0 days 13:00:02,2024-09-03,Tuesday
J14,NB,70,63.24,SB,70,62.82,0 days 13:00:02,2024-09-03,Tuesday
J19,NB,70,60.89,SB,70,61.84,0 days 13:00:02,2024-09-03,Tuesday
J21,NB,70,55.89,SB,70,53.63,0 days 13:00:02,2024-09-03,Tuesday
J24,NB,70,52.82,SB,70,48.59,0 days 13:00:02,2024-09-03,Tuesday
J28,NB,70,48.02,SB,70,49.35,0 days 13:00:02,2024-09-03,Tuesday
J32,NB,70,48.26,SB,70,55.42,0 days 13:00:02,2024-09-03,Tuesday
J34,NB,70,47.85,SB,70,49.39,0 days 13:00:02,2024-09-03,Tuesday
